AdrID,EGID,Kantonskuerzel,Grundstuecksnummer,Strasse,Nummer,PLZ,Ort,Name,EKoordinate,NKoordinate,Status,Bauperiode,Flaeche,Geschosse,Zivilschutzraum,Heizung,Datum_Heizung
100242283,482200,SH,38,Hauptstrasse,61,8225,Siblingen,,2681034.884,1285418.545,bestehend,Vor 1919,287,3,,Wärmetauscher für ein Geb.,2001-11-29
100242284,482201,SH,37,Hauptstrasse,63,8225,Siblingen,,2681023.391,1285416.176,bestehend,Vor 1919,166,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242426,471055,SH,6295,Dorfstrasse,94,8218,Osterfingen,,2679256.637,1279665.641,bestehend,Vor 1919,269,4,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242427,471056,SH,6208,Dorfstrasse,87,8218,Osterfingen,,2679242.15,1279698.32,bestehend,Vor 1919,127,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242428,471057,SH,6210,Dorfstrasse,85,8218,Osterfingen,,2679232.858,1279699.18,bestehend,Vor 1919,120,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242429,471058,SH,6211,Dorfstrasse,83,8218,Osterfingen,,2679225.375,1279700.962,bestehend,Vor 1919,59,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242430,471061,SH,6291,Dorfstrasse,88,8218,Osterfingen,,2679203.244,1279677.984,bestehend,Vor 1919,122,2,,Wärmepumpe für ein Geb.,2001-11-29
100242431,471062,SH,6215,Dorfstrasse,77,8218,Osterfingen,,2679183.829,1279702.064,bestehend,Vor 1919,339,3,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242432,471064,SH,6216,Dorfstrasse,75,8218,Osterfingen,,2679159.751,1279704.604,bestehend,Vor 1919,198,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242433,471065,SH,6218,Dorfstrasse,73,8218,Osterfingen,Zur Rebe,2679138.149,1279702.388,bestehend,Vor 1919,173,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242434,471066,SH,6219,Dorfstrasse,71,8218,Osterfingen,,2679123.989,1279698.252,bestehend,1986-1990,142,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242435,471067,SH,6220,Dorfstrasse,69,8218,Osterfingen,,2679109.959,1279699.432,bestehend,1986-1990,145,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242436,471068,SH,6221,Dorfstrasse,67,8218,Osterfingen,,2679098.466,1279705.772,bestehend,Vor 1919,227,3,,Wärmetauscher für ein Geb.,2001-11-29
100242437,471069,SH,6287,Dorfstrasse,82,8218,Osterfingen,,2679093.21,1279671.914,bestehend,1946-1960,441,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242438,471072,SH,6279,Dorfstrasse,76,8218,Osterfingen,,2679038.484,1279667.91,bestehend,Vor 1919,141,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242439,471073,SH,6277,Dorfstrasse,70,8218,Osterfingen,,2679003.792,1279649.439,bestehend,Vor 1919,511,2,,Wärmetauscher für ein Geb.,2001-11-29
100242440,471075,SH,6229,Dorfstrasse,63,8218,Osterfingen,,2679029.398,1279701.48,bestehend,Vor 1919,156,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242441,471076,SH,6234,Dorfstrasse,61,8218,Osterfingen,,2678967.301,1279715.367,bestehend,Vor 1919,409,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242442,471077,SH,6275,Dorfstrasse,66,8218,Osterfingen,,2678977.024,1279659.623,bestehend,Vor 1919,165,3,,Wärmetauscher für ein Geb.,2001-11-29
100242443,471079,SH,6272,Dorfstrasse,60,8218,Osterfingen,,2678955.153,1279648.714,bestehend,Vor 1919,230,3,,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242444,471080,SH,6237,Dorfstrasse,59a,8218,Osterfingen,Kindergarten,2678947.979,1279725.215,bestehend,Vor 1919,108,2,,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242445,471081,SH,6240,Dorfstrasse,59,8218,Osterfingen,,2678909.82,1279713.331,bestehend,1991-1995,208,4,,Wärmetauscher für ein Geb.,2001-11-29
100242446,471082,SH,6271,Dorfstrasse,56,8218,Osterfingen,,2678931.304,1279671.814,bestehend,Vor 1919,352,1,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242447,471083,SH,6243,Dorfstrasse,57,8218,Osterfingen,Schulhaus,2678891.635,1279703.204,bestehend,Vor 1919,585,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242448,471084,SH,6320,Dorfstrasse,54,8218,Osterfingen,Zum Ochsen,2678884.83,1279666.189,bestehend,Vor 1919,518,4,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242449,471085,SH,6319,Dorfstrasse,52,8218,Osterfingen,,2678861.271,1279665.007,bestehend,Vor 1919,539,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242450,471086,SH,6244,Dorfstrasse,55,8218,Osterfingen,,2678854.735,1279702.865,bestehend,Vor 1919,293,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242451,471087,SH,6245,Dorfstrasse,53,8218,Osterfingen,,2678832.666,1279690.854,bestehend,Vor 1919,255,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242452,471088,SH,6246,Dorfstrasse,51,8218,Osterfingen,,2678818.229,1279688.512,bestehend,Vor 1919,200,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242453,471089,SH,6247,Dorfstrasse,49,8218,Osterfingen,,2678796.9,1279680.65,bestehend,Vor 1919,261,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242454,471092,SH,6591,Trottenweg,21,8218,Osterfingen,,2678803.85,1279757.293,bestehend,1986-1990,94,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242455,471093,SH,6236,Trottenweg,9,8218,Osterfingen,,2678948.171,1279743.748,bestehend,Vor 1919,98,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242456,471094,SH,6232,Trottenweg,5,8218,Osterfingen,,2678997.487,1279737.986,bestehend,1986-1990,172,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242457,471095,SH,6227,Trottenweg,1,8218,Osterfingen,,2679033.451,1279718.251,bestehend,Vor 1919,145,2,1,Heizkessel (gene.) für ein Geb.,2001-11-29
100242458,471096,SH,6231,Trottenweg,3,8218,Osterfingen,,2679019.266,1279724.578,bestehend,Vor 1919,172,2,,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242460,471098,SH,24,Im Bohl,2,8243,Altdorf SH,,2691386.665,1293346.081,bestehend,Vor 1919,332,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242461,471099,SH,23,Im Bohl,6,8243,Altdorf SH,,2691383.48,1293361.435,bestehend,1981-1985,217,2,,Elektro direkt,2001-11-29
100242462,474118,SH,25,Ledergasse,16,8232,Merishausen,,2687632.793,1290882.933,bestehend,1971-1980,158,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242463,474119,SH,24,Ledergasse,14,8232,Merishausen,,2687615,1290874,abgebrochen,Vor 1919,,2,,Ofen,2001-11-29
100242464,474120,SH,23,Ledergasse,12a,8232,Merishausen,Hausteil West,2687619.371,1290855.295,bestehend,Vor 1919,82,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242465,474121,SH,8,Ledergasse,17,8232,Merishausen,,2687593.27,1290904.775,bestehend,1971-1980,268,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242467,474122,SH,13,Ledergasse,13,8232,Merishausen,,2687596.597,1290861.651,bestehend,Vor 1919,113,2,,Wärmepumpe für ein Geb.,2001-11-29
100242468,474123,SH,10,Ledergasse,15,8232,Merishausen,,2687572.635,1290860.429,bestehend,1971-1980,152,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242469,474125,SH,16,Ledergasse,9,8232,Merishausen,,2687586.629,1290845.925,bestehend,Vor 1919,88,3,,Wärmepumpe für ein Geb.,2001-11-29
100242470,474127,SH,19,Ledergasse,5,8232,Merishausen,,2687608.389,1290831.296,bestehend,Vor 1919,206,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242471,474128,SH,121,Brunngasse,2,8232,Merishausen,,2687792.925,1290527.13,bestehend,Vor 1919,247,2,,Ofen,2001-11-29
100242472,474129,SH,117,Im Hof,1,8232,Merishausen,,2687774.936,1290526.874,bestehend,Vor 1919,269,3,,Wärmepumpe für ein Geb.,2001-11-29
100242473,474131,SH,352,Hauptstrasse,43,8232,Merishausen,,2687807.538,1290551.38,bestehend,Vor 1919,184,2,,Ofen,2001-11-29
100242474,474132,SH,115,Hauptstrasse,45,8232,Merishausen,,2687797.464,1290575.408,bestehend,Vor 1919,140,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242475,474134,SH,82,Hauptstrasse,47,8232,Merishausen,,2687789.515,1290598.298,bestehend,1919-1945,292,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
